case_index,H,D,B,num_segs,seg_lengths,rules,matched_prefix_arr,total_runs,passed,status,mare_min,mare_max,mere_min,mere_max,rmse_min,rmse_max
80,8,128,1,11,1600|8|5x8|1200,0|1|2x9,512,10,10,PASS,3.3045e-01,3.3045e-01,7.2941e-03,7.2941e-03,2.2212e-04,2.2212e-04
81,8,128,1,11,1600|8|5x8|1200,0|1|2x9,1024,10,10,PASS,2.4663e-01,2.4663e-01,7.1943e-03,7.1943e-03,2.0103e-04,2.0103e-04
82,8,128,1,19,1600|8|5x16|1200,0|1|2x17,128,10,10,PASS,4.6767e-01,4.6767e-01,7.4509e-03,7.4509e-03,2.6417e-04,2.6417e-04
83,8,128,1,19,1600|8|5x16|1200,0|1|2x17,256,10,10,PASS,4.0300e-01,4.0300e-01,7.3867e-03,7.3867e-03,2.4169e-04,2.4169e-04
84,8,128,1,19,1600|8|5x16|1200,0|1|2x17,512,10,10,PASS,3.6247e-01,3.6247e-01,7.2920e-03,7.2920e-03,2.1980e-04,2.1980e-04
85,8,128,1,19,1600|8|5x16|1200,0|1|2x17,1024,10,10,PASS,2.7208e-01,2.7208e-01,7.1557e-03,7.1557e-03,1.9860e-04,1.9860e-04
86,8,128,1,35,1600|8|5x32|1200,0|1|2x33,128,10,10,PASS,5.2505e-01,5.2505e-01,7.4330e-03,7.4330e-03,2.5892e-04,2.5892e-04
87,8,128,1,35,1600|8|5x32|1200,0|1|2x33,256,10,10,PASS,3.7390e-01,3.7390e-01,7.3466e-03,7.3466e-03,2.3946e-04,2.3946e-04
88,8,128,1,35,1600|8|5x32|1200,0|1|2x33,512,10,10,PASS,3.5021e-01,3.5021e-01,7.3113e-03,7.3113e-03,2.1592e-04,2.1592e-04
89,8,128,1,35,1600|8|5x32|1200,0|1|2x33,1024,10,10,PASS,2.4197e-01,2.4197e-01,7.1286e-03,7.1286e-03,1.9631e-04,1.9631e-04
90,8,128,2,7,1600|8|5x4|1200;1600|8|5x4|1200,0|1|2x5,128x2,10,10,PASS,4.9124e-01,4.9124e-01,7.4299e-03,7.4299e-03,2.6532e-04,2.6532e-04
91,8,128,2,7,1600|8|5x4|1200;1600|8|5x4|1200,0|1|2x5,512x2,10,10,PASS,4.1516e-01,4.1516e-01,7.3216e-03,7.3216e-03,2.2128e-04,2.2128e-04
92,8,128,4,11,1600|8|5x8|1200;1600|8|5x8|1200;1600|8|5x8|1200;1600|8|5x8|1200,0|1|2x9,256x4,10,10,PASS,5.8108e-01,5.8108e-01,7.4326e-03,7.4326e-03,2.4315e-04,2.4315e-04
93,8,128,4,11,1600|8|5x8|1200;1600|8|5x8|1200;1600|8|5x8|1200;1600|8|5x8|1200,0|1|2x9,1024x4,10,10,PASS,3.2416e-01,3.2416e-01,7.2244e-03,7.2244e-03,2.0055e-04,2.0055e-04
94,8,128,2,150,1600|8|4|14|6|4|10|5|14x2|15|8|7|11|5|7|6|15|12x3|15|6|12|13x2|3|6|23|14|12|9|5|6|15|6|12|11|10|15|10|14x2|10|14|13|7|15|11|9|13|7|6|3|7|14|7|6|11|4|14|6|12|11x2|8|2|11|10|15x2|9|5|15|5|6|14x2|3|9|13|8|12|14|15|5|11|9x2|7|8|7|13|12|5|8|12|13|12|13|15|3|11|10|6|14|10|11|14|6|47|49|10|4|12|10|12|7|12|8|14|13|15|13|15|2|15|11|5|12|15|9|7|15|9|7|5|14|7|14|7|5|11|13|6|15|11|22|15|2048;1600|8|6|13|37|7|6|7|38|9|29|13|21|5|11|10|13|5|6|8|12|15|9|15|8|35|14|10|12|9|14x2|13|16|5|11|15|22|5|15|10|7|6|17|14|5|8|6|14|9|11|9|6|10|34|8|2|7|9|10|3|4|11|9|5|15|10|14|7|12|14|11|5|3|11|13|15|47|11|6x2|7|13|8|10|6|8|3|6|8|12|11|12|15|14|15|6|8|12|8|13|9|13|15x2|7|11|10|15|11x2|13|5|7|47|8|6|10|6|3|12|22|10|11|15|29|10|6|13|10|5|12|13|11|12|10|9|5|14|15|13|14|6|13|11|7|8|13|12|1800,0|1|2x148,0x2,10,10,PASS,6.9962e-01,6.9962e-01,6.9646e-03,6.9646e-03,2.5621e-04,2.5621e-04
95,8,128,4,230,2000|8|13|9|8|6|8|13|5|11|6|13x2|7|15|8|11x2|5x2|9|10|11|15|6|8|6|10|8|11|7|9|7|6|14|6|5|7x2|9|13|8|11x2|10|11|5|8|14|10|9|21|12|13|10|5|43|7|8|6x2|12|9|5|11|14|21|11|10x2|11|13|11|2|5|14|38|14|10|13|8x2|14|9|7|10|15|14|8|15|8|9x2|12|4|11|5|10|6|8|4|14|13|5|15|8|6|8|15|11|13|8|4|5|13|6|7|11|5|8|11|8|15|13|14|9|14|3|8|6|10|13|11|15|14x2|8|12|14|15|5|13|3|14|13|7|9|23|10|20|9x2|12|9|15|11|12|9x2|6|8|14|11|5|15|14|5|15|10|12|13|6|10|7|5|8|15|5|10|7|2|5|8|50|6|3|13|12|15|9|7|10|6|12|14|15|8|14|11|8x2|9|7|13|8x2|4|15|9|13|7|9|8|7x2|10|14|10|6|12|7|2|19|5|10|5|11|3|6|2048;3200|8|5|7|12|7|11|9|10|11|6|14|10|6|9|15|12x2|6|8|15|8|5|6|11|8|6|11|12|7|9|41|14|8|5|14|9|6|8|12|14|15|10|5|15|7|9|8|11x2|5|10|9|11|5|13|12|7|14|12|2|13|22|11|5|15|22|15|13|9|10|15x2|5|9|15|6|12|15|8|11|5|6|24|26|11|7|8|6|7|8|6|13|49|11|6|15|5|15|13|15|9|15|6|9|11x2|14|15|5|9|13|6|5|12x2|9|7|3|7|5|8x2|2|7|6|10|13|7|13x2|12|2|4|14|12|7|2|46|7|8|14|10|11|10|13|21|8|15|6|11x2|5|10|12|13|5|14|13|10|7|6|4|10|8|14|2|13x2|7|9x2|10|8|38|7|11|7|5|11|7|14x2|10|7|9|15|12|7|10|12|5|14|9|5|13x2|8|6|5|31|6|8|6|9|11|6|7|15|5|33|8|6|9|14|6|14|10|12|10|7|13|11|9|13|10x2|8|6|1800;2000|8|11|3|9|4|7|11|8|13|5|6|10|8|14|9|6|11|9|10|6|14|8|5|12|11|15|7|10|14|12|15x2|9|15|8|7|13|7|9|12x2|13|14|13|12|15|11|15x2|5|7|12|11|14|11|13|6|11|32|5|7|13|10|14|43|5|7|8|7|18|7|12|10|6|12|8|5|8|34|15|8|14|15|6|11|12|2|10x3|9|7|2|15|12|13|12|8|11x2|10x2|6|13x2|10|15|5|15|14|5|11|8|12x2|9|12|8x2|6|15x3|11|4|6|23|11|5x2|30|13|9|10|8|6|8|7|6|41|5x2|13|14|9|43|14|7|9|12|11|5|12|5|15|8|9|12|5|15|10|11|15x2|11|13|11|13|12|7|15|7|15|11|14|8|6|11|5|14|15|13|15|9|5|15x2|10|43|12|13|9|7|15|4|12|13|10|11x2|9|7x2|11|15|10|12|19|14|7|14|12|10|11|45|12|9|12x2|15x2|9|7|8|9|6|11|9|1200;2000|8|2|15|13|6|12|5|14|7x2|10|8|10|13|29|14|35|12|14|29|4|11|14x3|12|7|8|50|6|15x2|11|14|6|12|10|13|7|3|8|10|13|10|14|7|11x2|8|15|11|15|14|5|6|10|15x2|14|5|11|15|4|14|6|5x2|7|42|14|6|3|15|5|7|15|11|6|10x2|11|13|10|8|10|6|7|13|9|7|8|7|10|9|8|11|13|14|8|3|2|7|6|7x2|14|7|11|9|15|12|8|14|9|2|12|11|2|8|11|7|11|7|10|2|15|8|5|6x2|10|8|10|9|13|9|15|8|2|13x2|6|11x2|15|8|11|9|12|8|10|3|13|9|5|12|8|13|7|15|5|7|5|7|13|12|7|5|15|5|11|14|7|44|12|11x2|8|6|8x2|15|5|14|7|15|10|12|9|11x2|14|11|13|29|50|13|15|11|10|31|7|11|10|6|5|14x2|12|7|8|12|6|8|10|7|12|9|13|14|13x2|15|5|7|6|12|8|1200,0|1|2x228,0x4,10,10,PASS,9.1964e-01,9.1964e-01,6.7627e-03,6.7627e-03,2.3876e-04,2.3876e-04
96,8,128,8,7,2000|8|13|34|10x2|1800;2000|8|14|12|10|6|2048;3200|8|9|15|11|10|2048;1600|8|7|13|5x2|2048;2000|8|10|4|5x2|1200;1600|8|14|12|7|11|1800;1600|8|42|9|4|9|1024;3200|8|15x2|18|7|2048,0|1|2x5,0x8,10,10,PASS,8.0398e-01,8.0398e-01,7.2006e-03,7.2006e-03,2.8858e-04,2.8858e-04
97,8,128,4,40,1600|8|10x2|9|15|7|6|9|8|13|10|9|24|8|14|12|7|21|12|7|14|7|13|5|10|12|9|10|12|15|9|15|9|5|13|14|5|6|1200;3200|8|7|10|13|14|11|14|13|8|9|14|30|13|7|12x2|8|9|12|15|6|9|14|6|11|15|6|7|10|9|12x2|6|9|6|8|10|13|1024;1600|8|12x3|6|15|5|15|5|6|13|5|12|14|10|14|15|8x2|5|10|6|2|8|6|9|17|12|21|6|5|8x2|10|12|15|2|4|1024;2000|8|6|7x2|15|7|15|11|24|5x2|7|18|10|12|8|11|7|11|14|10|21|9|23|11|10|8|15|13|3|5|6|14|12|8|14|3|7|1800,0|1|2x38,0x4,10,10,PASS,8.6656e-01,8.6656e-01,7.1671e-03,7.1671e-03,2.9094e-04,2.9094e-04
98,8,128,1,51,3200|8|15|3|7|11|14|12|7|15|5|15|12|5|15|7|12|6|15|14|15x2|13|11|15|6|10|6|8|10|8|9|13|32|13|11|3|15|10|14|12|11|9|5|14|12|15|13|14x2|1024,0|1|2x49,0,500,500,PASS,5.2517e-01,1.4211e+00,6.9308e-03,7.0296e-03,2.6007e-04,2.6901e-04
99,8,128,8,45,2000|8|14|10|8|5|9|5|11|6|15|8|10|15|27|7|12|5|6|10|9|10|13|12|9|6|10x2|31|7|6|29|9|11|5|11|12x2|6|10|5|6|2|8|1200;2400|8|13|29|12|9|8|6|9|5|14|6|13|21|12|14|5|10|8|12|35|34|6|32|3|10|15|9x3|6|5|8|4|12|11|12|5|8|13|14|48|15|9|1800;1600|8|12|11|14|7|15|5|15|6|50|3|9|5|14x2|6|10x2|14|7|3|10x2|14|15|10|14x2|5|6x2|9|15x2|2|7x2|15|13|7|13|6|7|1200;1600|8|13x2|6x2|15|8|7|5|11x2|5|4|30|12|7|13x2|15x2|9x2|46|7|13|15|7|10|24|12|11|14|11|10|6|11|15x2|6|12|5|12|9|1200;2400|8|15|43|14x2|8|14|12|7|6|8x4|6|12|11|14|10|6|12|13|5|6x2|9|5|14|10|5|6|13|10|8|37|6|12|13|5|22|13|9|7|1200;3200|8|12|4|15|48|6|15|13|9|11|8|14|9|6|13|11|15|10|15|13|9|14|15|12x2|10|8|6|15|5|15|11|7|13|12|7|5|8|6|13|9x2|6|1024;2400|8|15|9|13|12x2|13|4|8|5|14|12|11|13|11|14|7|11|8|14|8|5|9|11|14|6|12|11|2|14|7|10|7|8|11|10|5|15|8|14|10|14|7|2048;1600|8|6|8|14|15|6|11|9|11|8|3|7x2|10|8|7|14|10|8|10|15x2|13|14|6|8|34|6|10|3|10|9|10|6|41|14|15x2|7x2|5|3|9|1024,0|1|2x43,0x8,10,10,PASS,1.0138e+00,1.0138e+00,7.1386e-03,7.1386e-03,2.8542e-04,2.8542e-04
100,8,128,8,28,1600|8|15|12|46|5x3|6|3|6|10|14|8x2|7|10|11|7|8|10|34|10|14|3|4|10|1200;1600|8|12|8|11|12|5|7|14|6|7|9|11x2|7|8|6|5x2|15x2|10|3|5|14|13|8|1200;2000|8|14|11|9|5|8|12|7|11|9|15|7|5|8|15|5|14|15|10|5|13|15|10|27|5|10|1800;2400|8|11|15|11|13x2|11x2|14|12|9|5|11|14|11|6|34|16|12|9|15|5|4|17|11|15|1200;2400|8|5|7|11|13|8x2|12|13|15|12|8|12|45|36|9|13|14|5|11x2|8|6|48|8|10|1024;1600|8|3|5|10|12|7|13|8|9|14|7|9|4|9|5|7|13|8|6|9|11|7|15|9x2|8|1024;1600|8|5|12|11|6x2|10|5|8|5|13|10|7|8|39|13|8|25|14|9x2|6|7|10|13|8|2048;2400|8|15|13|8|14|8|10|15|13|5|9|14|49|14|6|10|9|12|15|6|13|14|9|13|12|5|1200,0|1|2x26,0x8,10,10,PASS,9.7345e-01,9.7345e-01,7.2493e-03,7.2493e-03,2.9896e-04,2.9896e-04
